# ID  X  Y  MAGNITUDE  FLUX
  599    478.43    196.89    18.704      329.83
  600    152.20    197.80    20.193       83.70
  601    634.79    197.82    22.180       13.42
  602    760.50    198.21    19.616      142.47
  603    114.45    198.93    20.100       91.16
  604    179.97    199.45    20.237       80.37
  605    294.64    199.31    19.670      135.54
  606    598.01    198.81    20.032       97.07
  607    320.81    199.74    19.907      108.99
  609    417.09    201.95    19.672      135.26
  610    643.04    201.39    20.033       97.01
  611    670.06    200.81    20.376       70.76
  612    494.01    201.53    19.763      124.37
  613    532.75    202.24    24.061        2.38
  614    625.14    201.86    17.622      893.81
  615    751.54    202.22    20.665       54.19
  616    234.94    203.19    22.922        6.78
  617    254.68    203.19    19.946      105.12
  618    476.67    202.58    19.638      139.58
  619    676.88    202.91    20.323       74.25
  620    170.91    203.49    20.162       86.11
  621    487.49    204.37    20.300       75.89
  622    739.04    204.29    22.648        8.73
  623     26.89    207.10    19.772      123.42
  624    133.58    204.64    20.565       59.40
  625    142.08    205.35    20.305       75.52
  626    319.22    205.03    20.275       77.65
  627    511.31    205.00    21.521       24.64
  628    634.16    205.05    20.858       45.39
  630    689.80    205.80    19.508      157.34
  631     26.89    207.10    19.772      123.42
  632    176.78    206.55    19.837      116.23
  633    289.06    207.27    19.431      168.96
  634    350.69    207.18    20.025       97.72
  635    398.76    207.02    21.508       24.93
  636    768.38    207.05    19.689      133.14
  637     94.48    207.93    20.638       55.55
  638    345.67    207.90    19.961      103.67
  639    375.81    208.25    19.434      168.36
  640    589.87    208.06    20.871       44.85
  641    662.53    208.17    19.573      148.25
  642    188.16    208.97    19.582      146.90
  643    289.53    207.25    19.473      162.46
  644    384.37    208.68    19.296      191.31
  645    459.02    209.92    18.438      421.38
  646    514.90    210.40    22.080       14.72
  647    558.93    209.89    19.362      180.04
  648    783.81    209.46    19.495      159.21
  649     67.38    210.93    19.488      160.25
  650    223.66    210.75    18.785      306.21
  651    391.83    211.23    19.869      112.80
  652    474.26    210.87    18.589      366.67
  653     84.72    212.44    19.629      140.73
  654    206.26    212.19    20.423       67.71
  655    275.73    212.34    20.188       84.12
  656    669.76    211.62    21.627       22.34
  657    747.63    211.95    20.742       50.50
  658    238.54    213.33    20.016       98.55
  659    632.85    213.05    20.564       59.50
  660    255.58    213.77    21.962       16.42
  661    376.55    214.89    19.514      156.53
  662    444.87    214.44    21.524       24.58
  663     13.51    214.70    19.408      172.44
  664    269.77    214.99    20.810       47.42
  665    348.03    215.07    20.645       55.22
  666    383.70    214.87    18.953      262.34
  667    419.65    214.64    19.785      121.91
  668    559.76    215.25    18.837      291.74
  669    568.61    215.12    20.560       59.71
  670    310.88    216.22    19.486      160.58
  671    321.93    216.28    19.767      123.88
  672    461.52    215.47    19.592      145.66
  673    474.14    216.44    18.938      266.05
  674    683.62    215.72    20.169       85.60
  675    757.77    215.61    22.092       14.56
  676    294.53    217.12    19.960      103.79
  677    645.89    216.67    19.771      123.43
  678    698.55    217.27    21.967       16.34
  679    726.83    216.84    18.963      259.99
  680    409.42    218.41    16.806     1895.51
  681    497.05    217.91    20.299       75.94
  682    559.76    215.25    18.837      291.78
  683    150.88    219.11    19.819      118.15
  684    601.90    218.61    19.943      105.35
  685    424.60    219.95    19.423      170.19
  686    779.68    219.98    18.906      273.81
  687    159.82    221.39    20.133       88.44
  688    398.93    220.78    21.032       38.66
  690    551.27    221.52    19.850      114.80
  691    117.69    222.21    20.785       48.55
  692    209.10    221.96    22.311       11.90
  693    233.52    221.66    23.532        3.87
  694    432.00    222.10    19.416      171.20
  695    490.98    222.07    19.406      172.88
  696    535.93    221.51    21.838       18.39
  697    693.55    221.78    20.438       66.79
  698    718.93    222.32    20.027       97.51
  699    223.92    223.17    21.287       30.57
  700    246.68    222.51    21.299       30.23
  701    382.17    222.93    20.787       48.44
  702    417.43    223.39    19.583      146.78
  703    504.13    222.60    20.225       81.28
  704    642.96    223.35    21.476       25.68
  705     49.66    223.78    20.542       60.69
  706    446.10    223.58    21.233       32.11
  707    615.79    224.39    16.717     2057.71
  708    281.85    224.59    22.105       14.39
  709    452.88    224.92    22.452       10.45
  710    686.04    224.61    19.268      196.25
  711    125.66    225.91    19.691      132.96
  712    324.12    225.69    19.965      103.23
  713    568.24    225.58    18.745      317.71
  714    772.02    226.01    17.285     1218.67
  715    166.86    227.18    21.930       16.90
  716    548.85    226.63    18.840      291.16
  717    229.49    228.20    22.238       12.73
  718    350.06    227.85    19.797      120.51
  719    574.83    227.85    20.108       90.55
  720    747.01    228.28    20.708       52.11
  721    340.70    228.79    21.368       28.38
  722    413.69    228.56    19.775      123.02
  723    468.83    228.89    19.487      160.37
  724    584.91    229.33    18.617      357.35
  725    190.20    229.58    17.352     1145.95
  726    295.68    230.09    19.271      195.77
  727    308.08    230.16    19.912      108.45
  728    607.07    229.73    19.734      127.78
  729    719.06    229.99    19.958      103.91
  730    128.21    230.70    20.162       86.13
  732    673.23    231.17    20.326       74.05
  733    385.35    231.80    18.670      340.50
  734    392.80    231.70    20.434       67.06
  735    480.99    232.33    16.614     2260.92
